,count,mean,std,min,25%,50%,75%,max
h1n1_concern,26615.0,1.6184858162690212,0.910310689354629,0.0,1.0,2.0,2.0,3.0
h1n1_knowledge,26591.0,1.2625324357865444,0.6181491336862521,0.0,1.0,1.0,2.0,2.0
behavioral_antiviral_meds,26636.0,0.048843670220753865,0.21554514688376925,0.0,0.0,0.0,0.0,1.0
behavioral_avoidance,26499.0,0.7256122872561229,0.44621363670284353,0.0,0.0,1.0,1.0,1.0
behavioral_face_mask,26688.0,0.06898231414868106,0.2534288086212574,0.0,0.0,0.0,0.0,1.0
behavioral_wash_hands,26665.0,0.825614100881305,0.3794480951683255,0.0,1.0,1.0,1.0,1.0
behavioral_large_gatherings,26620.0,0.3586401202103681,0.4796102850061874,0.0,0.0,0.0,1.0,1.0
behavioral_outside_home,26625.0,0.33731455399061033,0.47280211674063427,0.0,0.0,0.0,1.0,1.0
behavioral_touch_face,26579.0,0.6772640054178111,0.46753149239735653,0.0,0.0,1.0,1.0,1.0
doctor_recc_h1n1,24547.0,0.2203120544262028,0.4144655005810059,0.0,0.0,0.0,0.0,1.0
doctor_recc_seasonal,24547.0,0.32973479447590337,0.4701263273729062,0.0,0.0,0.0,1.0,1.0
chronic_med_condition,25736.0,0.28326080198943115,0.45059073345235295,0.0,0.0,0.0,1.0,1.0
child_under_6_months,25887.0,0.0825897168462935,0.2752663846720781,0.0,0.0,0.0,0.0,1.0
health_worker,25903.0,0.111917538509053,0.3152710584813164,0.0,0.0,0.0,0.0,1.0
health_insurance,14433.0,0.8797200859142243,0.32529984346990304,0.0,1.0,1.0,1.0,1.0
opinion_h1n1_vacc_effective,26316.0,3.85062319501444,1.007435774345147,1.0,3.0,4.0,5.0,5.0
opinion_h1n1_risk,26319.0,2.3425662069227555,1.2855392866937587,1.0,1.0,2.0,4.0,5.0
opinion_h1n1_sick_from_vacc,26312.0,2.357669504408635,1.3627659171715765,1.0,1.0,2.0,4.0,5.0
opinion_seas_vacc_effective,26245.0,4.025985902076586,1.0865649035819012,1.0,4.0,4.0,5.0,5.0
opinion_seas_risk,26193.0,2.719161608063223,1.3850551813594443,1.0,2.0,2.0,4.0,5.0
opinion_seas_sick_from_vacc,26170.0,2.1181123423767674,1.3329499250470451,1.0,1.0,2.0,4.0,5.0
household_adults,26458.0,0.8864993574722201,0.7534215353448523,0.0,0.0,1.0,1.0,3.0
household_children,26458.0,0.5345831128581148,0.9281733165472291,0.0,0.0,0.0,1.0,3.0
